Fandom,Type,Total Works,Excluding Crossovers,Total Fix-It Fics,Fix-It Fics without Crossovers
Natsume Yuujinchou | Natsume's Book of Friends,Anime *a* Manga,1256,1160,2,2
Miss Fisher's Murder Mysteries,TV Shows,2711,2577,7,7
Dear Evan Hansen - Pasek & Paul/Levenson,Theater,4532,3828,26,20
The Worst Witch - All Media Types,TV Shows,1366,1313,8,8
Death Note & Related Fandoms,Movies,5924,5217,95,83
The Defenders (Marvel TV),TV Shows,1413,1272,32,28
Star Wars: Rise of Empire Era - All Media Types,Movies,17763,16896,651,634
Frozen (Disney Movies),Movies,6030,4508,17,12
Forever (TV 2014),TV Shows,1174,929,6,4
Jesus Christ Superstar Live in Concert (2018),Uncategorized Fandoms,0,0,0,0
American (US) Actor RPF,Celebrities *a* Real People,4692,2764,5,1
Camp Camp (Web Series),Cartoons *a* Comics *a* Graphic Novels,2735,2583,31,30
The Legend of Zelda & Related Fandoms,Anime *a* Manga,10528,9372,40,34
In the Flesh (TV),TV Shows,1205,1081,8,6
X1 (Korea Band),Music *a* Bands,1847,1839,0,0
Wonder Woman (Movies - Jenkins),Movies,1581,1257,135,121
Arthurian Mythology & Related Fandoms,Movies,38372,35031,450,396
Pride and Prejudice & Related Fandoms,Movies,2499,2074,6,4
Rush (2008),Uncategorized Fandoms,0,0,0,0
Hunger Games Trilogy - Suzanne Collins,Books *a* Literature,7789,6988,37,32
Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School,Anime *a* Manga,1770,1689,31,30
Wiedźmin | The Witcher - All Media Types,Video Games,4253,3863,78,75
Twilight (Movies),Movies,1586,1204,8,4
Elder Scrolls,Video Games,7816,6800,40,33
刀剣乱舞 | Touken Ranbu,Anime *a* Manga,4056,3870,1,0
创造101 | Produce 101 (China TV),Celebrities *a* Real People,1089,863,0,0
Miraculous Ladybug,Anime *a* Manga,26021,24543,66,60
Mystic Messenger (Video Game),Video Games,6928,6721,23,22
Tortall - Tamora Pierce,Books *a* Literature,2276,2160,6,6
ペット (2020) | Pet (2020),Uncategorized Fandoms,0,0,0,0
Archie Comics & Related Fandoms,Cartoons *a* Comics *a* Graphic Novels,13327,12515,120,113
Zootopia (2016),Movies,3652,3258,1,0
League of Legends,Video Games,3482,3323,6,5
Sherlock Holmes & Related Fandoms,TV Shows,124698,112079,1260,1144
Brooklyn Nine-Nine (TV),TV Shows,4154,3807,6,5
The Punisher (TV 2017),TV Shows,2320,2208,27,24
Captain America (Movies),Movies,78523,72565,1736,1601
Doctor Who,TV Shows,56879,46172,835,704
Super Junior,Music *a* Bands,5210,4929,2,2
Pocket Monsters: Black & White | Pokemon Black and White Versions,Anime *a* Manga,1183,1098,4,4
The Worst Witch - All Media Types,Movies,1366,1313,8,8
Fire Emblem Series,Video Games,30959,29737,143,139
Cardcaptor Sakura,Anime *a* Manga,1049,808,4,0
Wentworth (TV),TV Shows,1535,1480,13,13
Marvel 616,Cartoons *a* Comics *a* Graphic Novels,31761,27759,580,508
Forever Knight,TV Shows,1020,842,8,5
Newsies - All Media Types,Movies,5239,5011,3,3
创造101 | Produce 101 (China TV),Music *a* Bands,1089,863,0,0
Wiedźmin | The Witcher - All Media Types,TV Shows,4253,3863,78,75
Power Rangers,TV Shows,6328,5646,27,22
A Song of Ice and Fire & Related Fandoms,Books *a* Literature,49120,46294,1509,1448
Star Wars Original Trilogy,Books *a* Literature,8026,7445,177,170
SKAM (Norway),TV Shows,6043,5688,25,25
Far Cry 5,Video Games,2441,2406,26,25
Tron - All Media Types,Movies,1283,1138,5,3
Criminal Minds (US TV),TV Shows,16680,13995,60,39
Pocket Monsters | Pokemon - All Media Types,Video Games,18984,16180,40,26
NSYNC,Music *a* Bands,1361,1195,0,0
Sleepy Hollow (TV),TV Shows,2152,1931,65,57
Dracula & Related Fandoms,Books *a* Literature,2871,2109,16,11
Guardians of the Galaxy (Movies),Movies,6847,6139,278,262
Gundam & Related Fandoms,Anime *a* Manga,7737,7187,31,26
Chronicles of Narnia - C. S. Lewis,Books *a* Literature,2827,2054,18,9
American Horror Story: Apocalypse,TV Shows,1031,960,10,9
She-Ra and the Princesses of Power (2018),Cartoons *a* Comics *a* Graphic Novels,3886,3651,27,24
K (Anime),Anime *a* Manga,3177,3006,23,23
Naruto,Anime *a* Manga,49571,45736,1528,1432
Granblue Fantasy (Video Game),Video Games,1377,1339,15,12
Sleeping Beauty - All Media Types,Movies,1344,1024,8,4
ワンパンマン | One-Punch Man,Anime *a* Manga,3540,3314,4,3
Cobra Starship,Music *a* Bands,1386,1132,0,0
Timeless (TV 2016),TV Shows,2337,2275,61,53
Dungeons & Dragons - All Media Types,Cartoons *a* Comics *a* Graphic Novels,16415,14769,260,248
The Shadowhunter Chronicles - All Media Types,TV Shows,32990,31569,353,336
Star Stable,Video Games,1346,1327,1,1
The Hobbit RPF,Celebrities *a* Real People,1443,990,1,0
League of Legends RPF,Celebrities *a* Real People,1807,1754,0,0
Fallout 3,Video Games,1549,1453,3,3
The Hobbit - All Media Types,Cartoons *a* Comics *a* Graphic Novels,31628,29306,1147,1093
Inspector Morse & Related Fandoms,Books *a* Literature,3333,3156,22,22
Love Live! Sunshine!!,Anime *a* Manga,2857,1216,0,0
Life on Mars & Related Fandoms,TV Shows,2446,2270,6,5
Rogue One: A Star Wars Story (2016),Movies,7876,7630,387,378
镇魂 | Guardian (TV),TV Shows,5296,4287,88,79
Smosh,Celebrities *a* Real People,1030,991,0,0
Coco (2017),Movies,1100,997,4,4
Jrock,Music *a* Bands,5526,5271,1,1
The Maze Runner Series - All Media Types,Books *a* Literature,5448,4949,112,97
Doctor Who RPF,Celebrities *a* Real People,1423,1079,0,0
Wynonna Earp (TV),TV Shows,4817,4576,15,14
The Avengers (Marvel Movies),Movies,140220,129012,4549,4235
Tiger & Bunny,Anime *a* Manga,1212,1155,0,0
Deadpool (Comics),Cartoons *a* Comics *a* Graphic Novels,1501,1304,5,3
Life Is Strange (Video Game),Video Games,4914,4523,60,52
Produce 101 (TV),Music *a* Bands,4554,4348,1,1
Justified,TV Shows,1096,977,7,5
Produce 101 (TV),TV Shows,4554,4348,1,1
Ouran High School Host Club - All Media Types,Anime *a* Manga,2715,2170,3,1
Marvel,TV Shows,393552,345372,8337,7374
Cats Film (1998),Uncategorized Fandoms,0,0,0,0
Bohemian Rhapsody (Movie 2018),Movies,2746,105,15,2
Figure Skating RPF,Celebrities *a* Real People,4057,3913,25,25
Haikyuu!!,Anime *a* Manga,56192,54548,23,14
Parahumans Series - Wildbow,Books *a* Literature,1054,736,9,3
Friends at the Table (Podcast),Other Media,1279,1274,13,13
Dead by Daylight (Video Game),Video Games,1671,1416,2,2
The Legend of Zelda: Breath of the Wild,Video Games,4210,3980,21,20
Miraculous Ladybug,Cartoons *a* Comics *a* Graphic Novels,26020,24542,66,60
The Librarians (TV 2014),TV Shows,2224,1922,10,7
Fallout 4,Video Games,8368,8095,17,16
Constantine (TV),TV Shows,1007,507,8,2
Mortal Kombat - All Media Types,Video Games,1116,950,4,3
Doctor Who,Books *a* Literature,56879,46172,835,704
Ghost - Ambiguous Fandom,Music *a* Bands,1341,1217,1,1
Star Wars Prequel Trilogy,Movies,11583,10983,465,453
Treasure Island & Related Fandoms,Books *a* Literature,4676,4238,116,109
Eyewitness (US TV),TV Shows,1080,1057,2,2
Servamp (Anime & Manga),Anime *a* Manga,1008,934,1,0
Wiedźmin | The Witcher - All Media Types,Books *a* Literature,4253,3863,78,75
The Fosters (TV 2013),TV Shows,1037,908,2,1
Battlestar Galactica (2003),TV Shows,5489,4839,36,31
Black Widow (Comics),Cartoons *a* Comics *a* Graphic Novels,1306,1082,20,17
Star Wars - All Media Types,Video Games,102964,97367,2657,2583
The Evil Within (Video Game),Video Games,1234,1159,2,2
Stray Kids (Band),Music *a* Bands,9415,9302,1,1
Panic! at the Disco,Music *a* Bands,8039,6917,2,2
Red Robin (Comics),Cartoons *a* Comics *a* Graphic Novels,2896,2727,22,22
Infinite (Band),Music *a* Bands,2138,2092,0,0
Dragon Age (Video Games),Video Games,56886,55430,242,226
Thor (Comics),Cartoons *a* Comics *a* Graphic Novels,1585,1252,28,22
Fate/Zero,Books *a* Literature,1308,1160,3,3
Tales of Arcadia (Cartoons),Cartoons *a* Comics *a* Graphic Novels,1393,1058,12,9
Dangan Ronpa - All Media Types,Anime *a* Manga,21158,19834,123,116
Dungeons & Dragons (Roleplaying Game),Books *a* Literature,3928,2649,12,9
Green Lantern (Comics),Cartoons *a* Comics *a* Graphic Novels,1016,932,11,9
the GazettE (Band),Music *a* Bands,2077,2044,0,0
Super Sentai Series,TV Shows,2009,1833,10,9
The Incredible Hulk (2008),Movies,2190,1847,62,48
Yu-Gi-Oh! 5D's,Anime *a* Manga,1052,962,9,8
Historical RPF,Celebrities *a* Real People,5548,2527,27,9
Buffy the Vampire Slayer (TV),TV Shows,29508,18419,201,82
Sonic the Hedgehog - All Media Types,Video Games,3431,2744,17,14
Star Wars Original Trilogy,Movies,8026,7445,177,170
Veronica Mars - All Media Types,Movies,3120,2790,66,60
Breaking Bad,TV Shows,1307,1074,12,11
Stardew Valley (Video Game),Video Games,1859,1749,2,1
American Idol RPF,Celebrities *a* Real People,2848,1582,0,0
Ensemble Stars! (Video Game),Video Games,4404,4333,2,2
Akatsuki no Yona | Yona of the Dawn,Anime *a* Manga,1528,1477,6,6
Grey's Anatomy,TV Shows,3535,3096,43,40
The Legend of Zelda & Related Fandoms,Cartoons *a* Comics *a* Graphic Novels,10529,9372,40,34
Star Trek: Voyager,TV Shows,7763,7451,73,70
Ookiku Furikabutte | Big Windup!,Anime *a* Manga,1011,965,0,0
Borderlands (Video Games),Video Games,5435,5213,45,45
Highlander - All Media Types,TV Shows,5591,3475,40,12
Revolution (TV),TV Shows,2234,2147,29,28
Sherlock Holmes - Arthur Conan Doyle,Books *a* Literature,5847,5260,27,18
Castlevania (Cartoon),Cartoons *a* Comics *a* Graphic Novels,1076,1014,34,32
Mumintroll | Moomins Series - Tove Jansson,Books *a* Literature,1312,434,0,0
天官赐福 - 墨香铜臭 | Tiān Guān Cì Fú - Mòxiāng Tóngxiù,Books *a* Literature,1820,1603,45,39
The Walking Dead (TV),TV Shows,19078,17702,577,530
江湖 | Blood Brothers (2004),Uncategorized Fandoms,0,0,0,0
Orphan Black (TV),TV Shows,3793,3559,24,23
Stargate SG-1,TV Shows,22396,19895,108,75
CSI: NY,TV Shows,1187,762,4,2
BUJOLD Lois McMaster - Works,Books *a* Literature,2864,2640,3,3
Jurassic Park - All Media Types,Books *a* Literature,2354,1857,32,21
Batman and Robin (Comics),Cartoons *a* Comics *a* Graphic Novels,1348,1290,10,10
The Umbrella Academy (TV),TV Shows,6494,5653,438,387
Archie Comics & Related Fandoms,TV Shows,13328,12516,120,113
ノラガミ | Noragami (Anime & Manga),Anime *a* Manga,1165,987,4,3
Glee RPF,Celebrities *a* Real People,1994,1721,1,0
Pocket Monsters: Black & White | Pokemon Black and White Versions,Video Games,1183,1098,4,4
Star Trek,Movies,63646,58676,496,461
Kingsman (Movies),Movies,9693,8735,979,934
Watchmen - All Media Types,Movies,1382,1238,27,27
Archie Comics & Related Fandoms,Movies,13328,12516,120,113
古剑奇谭 | Gujian Qitan (Video Games),Video Games,1113,1087,1,1
The Vampire Diaries & Related Fandoms,Books *a* Literature,13378,11594,154,117
Turn (TV 2014),TV Shows,1225,905,13,10
Mass Effect - All Media Types,Movies,21534,20459,175,169
Chinese Comedian RPF,Celebrities *a* Real People,6530,6448,0,0
Vampire Chronicles - Anne Rice,Books *a* Literature,1033,938,4,4
Star Wars: The Clone Wars (2008) - All Media Types,Movies,8597,8267,373,363
Batman - All Media Types,Cartoons *a* Comics *a* Graphic Novels,43723,39365,405,354
19天 - Old先 | 19 Days - Old Xian,Cartoons *a* Comics *a* Graphic Novels,1086,1074,0,0
Steven Universe (Cartoon),Cartoons *a* Comics *a* Graphic Novels,15564,14239,24,22
K-pop,Music *a* Bands,269932,265406,44,41
JJ Project,Music *a* Bands,1070,1061,1,1
Rooster Teeth/Achievement Hunter RPF,Other Media,16633,15969,5,2
Kuroko no Basuke | Kuroko's Basketball,Anime *a* Manga,19726,18728,21,15
Plymouth (1991),Uncategorized Fandoms,0,0,0,0
Camp Camp (Web Series),Other Media,2735,2583,31,30
SHINee,Music *a* Bands,4547,4402,0,0
Invader Zim,Cartoons *a* Comics *a* Graphic Novels,1874,1655,2,1
Once Upon a Time (TV),TV Shows,44910,42069,437,373
Red Velvet (K-pop Band),Music *a* Bands,1986,1869,0,0
An Extremely Goofy Movie (2000),Uncategorized Fandoms,0,0,0,0
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Anime & Manga),Anime *a* Manga,2056,1786,13,11
Call Me By Your Name - All Media Types,Books *a* Literature,1263,845,100,97
Gundam Wing,Anime *a* Manga,6052,5628,11,7
Kuroshitsuji | Black Butler,Anime *a* Manga,8388,7470,22,21
Star Wars Legends: The Old Republic (Video Game),Video Games,3983,3835,26,26
Robin Hood - All Media Types,Books *a* Literature,1802,1462,14,13
Angel: the Series,TV Shows,9871,4726,90,33
X-Men (Movieverse),Movies,24594,22082,590,551
Rick and Morty,Cartoons *a* Comics *a* Graphic Novels,3633,3023,2,1
Star Wars: Rebels,Cartoons *a* Comics *a* Graphic Novels,4590,4434,89,84
Code Geass,Anime *a* Manga,1722,1486,24,20
Raven Cycle - Maggie Stiefvater,Books *a* Literature,6345,6145,88,85
Be More Chill - Iconis/Tracz,Theater,6300,5367,11,4
Harry Potter and the Cursed Child - Thorne & Rowling,Theater,2343,2265,48,46
Persona 3,Video Games,2409,2213,37,34
Avengers (Comics),Cartoons *a* Comics *a* Graphic Novels,6719,6283,182,178
DUMAS Alexandre - Works,Books *a* Literature,6023,5655,16,14
Ao no Exorcist | Blue Exorcist,Anime *a* Manga,1983,1674,15,13
DC Extended Universe,Cartoons *a* Comics *a* Graphic Novels,7530,6298,201,173
Disney - All Media Types,Movies,38884,31487,376,317
Political RPF - US 21st c.,Celebrities *a* Real People,1024,818,4,2
The Arcana (Visual Novel),Video Games,3193,3140,2,2
Star Wars: Rebellion Era - All Media Types,Books *a* Literature,19893,18930,602,582
All Time Low (Band),Music *a* Bands,1370,974,0,0
Cinderella - All Media Types,Books *a* Literature,1125,688,5,1
Sports RPF,Celebrities *a* Real People,45397,44226,57,54
A Song of Ice and Fire & Related Fandoms,TV Shows,49119,46293,1509,1448
Gravity Falls,Cartoons *a* Comics *a* Graphic Novels,15612,13343,42,32
Biohazard | Resident Evil (Gameverse),Video Games,3423,3147,78,77
Veronica Mars (TV),TV Shows,2850,2549,62,56
Star vs. The Forces Of Evil,Cartoons *a* Comics *a* Graphic Novels,1828,1579,5,4
Grand Theft Auto Series (Video Games),Video Games,1255,1050,4,2
Supernatural,TV Shows,215812,197841,2700,2437
Arashi (Band),Music *a* Bands,5639,5306,0,0
第五人格 | Identity V (Video Game),Video Games,2433,2247,0,0
Final Fantasy X & Final Fantasy X-2,Video Games,1401,1192,4,4
James Bond - All Media Types,Movies,10911,8547,203,158
Mass Effect - All Media Types,Books *a* Literature,21541,20466,175,169
Psych (TV 2006),TV Shows,2527,2108,4,2
Dragon Age - All Media Types,Movies,62517,60755,251,233
Sonic the Hedgehog - All Media Types,Cartoons *a* Comics *a* Graphic Novels,3431,2744,17,14
BanG Dream! (Anime),Anime *a* Manga,1011,15,1,0
Star Trek: The Original Series,TV Shows,11216,10461,68,64
Spartacus Series (TV),TV Shows,2296,2190,31,30
Star Trek,TV Shows,63646,58676,496,461
How to Train Your Dragon (Movies),Movies,6327,3262,30,12
Fate/stay night & Related Fandoms,Anime *a* Manga,6273,5505,31,20
Monsta X (Band),Music *a* Bands,9208,9067,5,4
Young Justice (Cartoon),Cartoons *a* Comics *a* Graphic Novels,7741,7137,108,96
Call Me By Your Name - All Media Types,Movies,1263,845,100,97
終わりのセラフ | Owari no Seraph | Seraph of the End,Anime *a* Manga,4937,4753,3,2
Inspector Morse & Related Fandoms,TV Shows,3333,3156,22,22
Pocket Monsters | Pokemon (Main Video Game Series),Video Games,10535,9783,20,20
Hope Springs (2009),Uncategorized Fandoms,0,0,0,0
美男高校地球防衛部LOVE! | Binan Koukou Chikyuu Bouei-bu LOVE!,Anime *a* Manga,1257,1160,2,2
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,Theater,5142,4146,25,18
教主和小师妹的故事 | Sect Leader and Little Shimei's Story (2019),Uncategorized Fandoms,0,0,0,0
Splatoon,Video Games,1804,1669,1,0
Red vs. Blue,Other Media,9091,8683,31,30
Final Fantasy XIII,Video Games,1269,1148,4,4
Batman v Superman: Dawn of Justice,Movies,1926,1702,28,26
iKON (Korea Band),Music *a* Bands,2218,2176,0,0
Homestuck,Other Media,50608,48203,99,91
Person of Interest (TV),TV Shows,8743,7978,214,201
Doctor Who & Related Fandoms,TV Shows,71613,58552,1014,839
B.A.P,Music *a* Bands,2447,2397,0,0
Digimon Adventure Zero Two | Digimon Adventure 02,Anime *a* Manga,1389,1306,3,3
South Park,Cartoons *a* Comics *a* Graphic Novels,8736,8373,2,1
おそ松さん | Osomatsu-san (Anime),Anime *a* Manga,6625,6485,5,5
Iron Man (Movies),Movies,37399,31917,1079,938
Parks and Recreation,TV Shows,1784,1576,1,0
Pride and Prejudice & Related Fandoms,Books *a* Literature,2499,2074,6,4
Tatort,TV Shows,1303,1289,11,11
Check Please! (Webcomic),Cartoons *a* Comics *a* Graphic Novels,9475,9271,10,9
Strange Magic (2015),Movies,1032,976,0,0
Star Wars - All Media Types,Books *a* Literature,102966,97369,2657,2583
The Flash (TV 2014),TV Shows,21738,20517,597,551
Transformers: Prime,Cartoons *a* Comics *a* Graphic Novels,5604,5349,42,40
The Mortal Instruments Series - Cassandra Clare,Books *a* Literature,8688,8220,73,68
General Hospital,TV Shows,1135,943,5,5
Fullmetal Alchemist: Brotherhood & Manga,Anime *a* Manga,7464,6936,43,36
Kanjani8 (Band),Music *a* Bands,1549,1471,0,0
Assassin's Creed - All Media Types,Other Media,8367,7380,170,136
Robin Hood (BBC 2006),TV Shows,1355,1177,13,13
名探偵コナン | Detective Conan | Case Closed,Anime *a* Manga,4770,2756,16,7
Yuri!!! on Ice (Anime),Anime *a* Manga,35257,34147,28,23
Percy Jackson and the Olympians - Rick Riordan,Books *a* Literature,14345,12390,119,93
No. 6 - All Media Types,Anime *a* Manga,1237,1163,7,7
Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,Anime *a* Manga,2167,1491,20,10
Harry Potter - J. K. Rowling,Video Games,226885,203269,3740,3259
The Voice RPF,Celebrities *a* Real People,1214,814,6,0
Lego - All Media Types,Other Media,2789,2575,9,7
Warehouse 13,TV Shows,2387,1923,58,49
New Dangan Ronpa V3: Everyone's New Semester of Killing,Video Games,8225,7948,61,57
Outsiders - Ambiguous Fandom,Books *a* Literature,985,887,6,6
Outsiders - Ambiguous Fandom,TV Shows,985,887,6,6
Pocket Monsters: Sword & Shield | Pokemon Sword & Shield Versions,Video Games,1491,1456,1,1
X-Men - All Media Types,Cartoons *a* Comics *a* Graphic Novels,30434,26496,611,565
British Actor RPF,Celebrities *a* Real People,9581,6312,5,0
Star Trek: Discovery,TV Shows,2605,2553,102,101
Shameless (US),TV Shows,11421,11190,104,102
xxxHoLic,Anime *a* Manga,1302,1063,9,7
Heroes (TV 2006),TV Shows,3284,2844,13,11
NU'EST,Music *a* Bands,1815,1779,2,2
DRAMAtical Murder - All Media Types,Video Games,3648,3507,14,14
Batman: Arkham - All Media Types,Cartoons *a* Comics *a* Graphic Novels,1036,933,18,15
BanG Dream! Girl's Band Party! (Video Game),Video Games,2219,1179,1,0
